GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2016-12-28,1610612737,1610612752,2016,102.0,98.0,200.0,96.35,95.7,101.2,97.2,31,15,16,0.484,30,16,14,0.5329999999999999,7,8,11,5,202.24,208.64,205.44
2016-12-28,1610612765,1610612749,2016,94.0,119.0,213.0,100.85,105.95,99.8,108.15,33,15,18,0.455,29,14,15,0.483,9,6,10,4,195.46,204.3,199.88
2016-12-28,1610612741,1610612751,2016,101.0,99.0,200.0,94.0,91.0,96.7,98.4,31,15,16,0.484,30,8,22,0.267,9,6,7,1,202.6,218.57999999999998,210.58999999999997
2016-12-28,1610612740,1610612746,2016,102.0,98.0,200.0,100.45,104.8,109.85,106.5,33,12,21,0.364,33,22,11,0.667,8,4,11,11,210.42000000000002,205.12,207.77
2016-12-28,1610612759,1610612756,2016,119.0,98.0,217.0,107.75,96.55,106.25,103.85,31,25,6,0.8059999999999999,31,9,22,0.29,9,16,5,4,199.06,216.94,208.0
2016-12-28,1610612743,1610612750,2016,105.0,103.0,208.0,109.2,110.3,110.05,111.2,31,13,18,0.419,31,10,21,0.3229999999999999,6,7,5,5,212.94,208.74,210.84
2016-12-28,1610612757,1610612758,2016,102.0,89.0,191.0,104.75,105.45,97.75,101.5,33,13,20,0.394,31,14,17,0.452,8,5,7,7,218.0,209.0,213.5
2016-12-28,1610612744,1610612761,2016,121.0,111.0,232.0,107.5,105.85,100.6,99.2,32,27,5,0.8440000000000001,30,22,8,0.733,12,15,11,11,216.42000000000002,206.68,211.55
2016-12-27,1610612738,1610612763,2016,113.0,103.0,216.0,99.65,105.5,98.25,97.5,31,18,13,0.581,33,20,13,0.606,6,12,12,8,206.06,198.0,202.03
2016-12-27,1610612748,1610612760,2016,94.0,106.0,200.0,97.25,95.5,101.8,103.4,31,10,21,0.3229999999999999,31,19,12,0.613,5,5,12,7,197.7,211.64,204.67
2016-12-27,1610612742,1610612745,2016,107.0,123.0,230.0,104.45,102.7,112.7,109.85,31,9,22,0.29,32,23,9,0.7190000000000001,6,3,11,12,197.14,219.32,208.23
2016-12-27,1610612747,1610612762,2016,100.0,102.0,202.0,107.3,114.65,95.55,106.55,34,12,22,0.353,31,18,13,0.581,7,5,10,8,212.36,192.56,202.46
2016-12-26,1610612764,1610612749,2016,107.0,102.0,209.0,94.7,91.35,99.8,108.15,29,13,16,0.448,28,14,14,0.5,10,3,10,4,211.82,203.42000000000002,207.62
2016-12-26,1610612753,1610612763,2016,112.0,102.0,214.0,96.55,103.5,98.25,97.5,32,14,18,0.438,32,20,12,0.625,6,8,12,8,205.18,197.72,201.45
2016-12-26,1610612751,1610612766,2016,120.0,118.0,238.0,96.7,98.4,99.45,97.7,29,7,22,0.241,30,17,13,0.5670000000000001,6,1,10,7,218.0,202.16000000000003,210.08
2016-12-26,1610612765,1610612739,2016,106.0,90.0,196.0,100.85,105.95,101.9,101.55,32,14,18,0.438,29,23,6,0.7929999999999999,8,6,16,7,195.68,209.22,202.45
2016-12-26,1610612741,1610612754,2016,90.0,85.0,175.0,94.0,91.0,92.05,92.25,30,14,16,0.467,31,15,16,0.484,8,6,11,4,203.32,207.52,205.42000000000002
2016-12-26,1610612740,1610612742,2016,111.0,104.0,215.0,100.45,104.8,104.45,102.7,32,11,21,0.344,30,9,21,0.3,7,4,6,3,209.92000000000002,196.62,203.27
2016-12-26,1610612745,1610612756,2016,131.0,115.0,246.0,112.7,109.85,106.25,103.85,31,22,9,0.71,30,9,21,0.3,10,12,5,4,217.92000000000002,216.22,217.07
2016-12-26,1610612750,1610612737,2016,104.0,90.0,194.0,110.05,111.2,96.35,95.7,30,9,21,0.3,30,15,15,0.5,4,5,7,8,209.2,202.64,205.92
2016-12-26,1610612757,1610612761,2016,91.0,95.0,186.0,104.75,105.45,100.6,99.2,32,13,19,0.406,29,21,8,0.7240000000000001,8,5,11,10,218.34,206.62,212.48000000000002
